etapa;ts_iso;fase;progresso
SUPABASE_POST;2026-09-04T17:12:38.7013530-03:00;;;D-24 criada
DISPATCH_REQ;2026-09-04T17:12:38.7445606-03:00;;;D-24 chamada POST /processar
DISPATCH_ACK;2026-09-04T17:12:39.2615086-03:00;;;agentes acionados na nuvem despachadas=D-24
POLL;2026-09-04T17:13:04.7120078-03:00;analise;10  #poll=1
POLL;2026-09-04T17:13:30.2330799-03:00;analise;30  #poll=2
POLL;2026-09-04T17:13:55.7243657-03:00;analise;34  #poll=3
POLL;2026-09-04T17:14:21.6853158-03:00;analise;38  #poll=4
POLL;2026-09-04T17:14:47.2082751-03:00;analise;38  #poll=5
POLL;2026-09-04T17:15:12.8890981-03:00;analise;38  #poll=6
POLL;2026-09-04T17:15:38.4009475-03:00;analise;38  #poll=7
POLL;2026-09-04T17:16:03.8334101-03:00;analise;38  #poll=8
POLL;2026-09-04T17:16:29.6865158-03:00;analise;42  #poll=9
POLL;2026-09-04T17:16:55.4934368-03:00;analise;46  #poll=10
POLL;2026-09-04T17:17:20.9935110-03:00;analise;46  #poll=11
POLL;2026-09-04T17:17:46.4524313-03:00;analise;46  #poll=12
POLL;2026-09-04T17:18:11.9670780-03:00;analise;46  #poll=13
POLL;2026-09-04T17:18:37.4553890-03:00;analise;46  #poll=14
POLL;2026-09-04T17:19:02.9321979-03:00;execucao;65  #poll=15
POLL;2026-09-04T17:19:28.9150576-03:00;execucao;65  #poll=16
POLL;2026-09-04T17:19:54.3487373-03:00;execucao;65  #poll=17
POLL;2026-09-04T17:20:19.8058390-03:00;execucao;65  #poll=18
POLL;2026-09-04T17:20:45.2489532-03:00;execucao;65  #poll=19
POLL;2026-09-04T17:21:10.7307754-03:00;execucao;71  #poll=20
POLL;2026-09-04T17:21:36.2401721-03:00;execucao;71  #poll=21
POLL;2026-09-04T17:22:01.6917364-03:00;execucao;77  #poll=22
POLL;2026-09-04T17:22:27.1599879-03:00;execucao;77  #poll=23
POLL;2026-09-04T17:22:52.6564460-03:00;execucao;83  #poll=24
POLL;2026-09-04T17:23:18.1680253-03:00;execucao;83  #poll=25
POLL;2026-09-04T17:23:43.6144817-03:00;execucao;89  #poll=26
POLL;2026-09-04T17:24:09.0848501-03:00;execucao;95  #poll=27
POLL;2026-09-04T17:24:34.9348963-03:00;execucao;95  #poll=28
POLL;2026-09-04T17:25:00.4004983-03:00;concluida;98  #poll=29
POLL;2026-09-04T17:25:25.8628112-03:00;concluida;98  #poll=30
POLL;2026-09-04T17:25:51.3533037-03:00;concluida;98  #poll=31
POLL;2026-09-04T17:26:16.8014332-03:00;concluida;100  #poll=32
CONCLUSAO;2026-09-04T17:26:16.8224402-03:00;;;D-24 fase=concluida prog=100
